第幾天,時間 (當日),絕對時間,出發地,目的地,出發地緯度,出發地經度,目的地緯度,目的地經度,事件,電量 (%),用時 (分),累積目標數
1,0.0 分,2025-12-01 09:00:00,广州 W 酒店,广州 W 酒店,23.121988,113.328508,23.121988,113.328508,Day 1 Start,10.00,0.0,0
1,2.9 分,2025-12-01 09:02:54,广州 W 酒店,随手充广州嘉裕中心B3充电站,23.121988,113.328508,23.122415,113.326656,Arrive 随手充广州嘉裕中心B3充电站,10.00,2.9,0
1,29.2 分,2025-12-01 09:29:12,随手充广州嘉裕中心B3充电站,完成測試 @ 随手充广州嘉裕中心B3充电站,23.122415,113.326656,23.122415,113.326656,Test Complete,15.00,26.2,1
1,30.5 分,2025-12-01 09:30:30,随手充广州嘉裕中心B3充电站,逸安启超充站-广州越秀金融大厦,23.122415,113.326656,23.123981,113.326316,Arrive 逸安启超充站-广州越秀金融大厦,14.98,1.3,1
1,56.7 分,2025-12-01 09:56:42,逸安启超充站-广州越秀金融大厦,完成測試 @ 逸安启超充站-广州越秀金融大厦,23.123981,113.326316,23.123981,113.326316,Test Complete,19.98,26.3,2
1,62.8 分,2025-12-01 10:02:48,逸安启超充站-广州越秀金融大厦,全球通大厦智能充电站,23.123981,113.326316,23.121044,113.321357,Arrive 全球通大厦智能充电站,19.90,6.1,2
1,89.1 分,2025-12-01 10:29:06,全球通大厦智能充电站,完成測試 @ 全球通大厦智能充电站,23.121044,113.321357,23.121044,113.321357,Test Complete,24.90,26.2,3
1,96.2 分,2025-12-01 10:36:12,全球通大厦智能充电站,小朗充电-广州市妇女儿童医疗中心充电站,23.121044,113.321357,23.124706,113.319652,Arrive 小朗充电-广州市妇女儿童医疗中心充电站,24.85,7.2,3
1,122.5 分,2025-12-01 11:02:30,小朗充电-广州市妇女儿童医疗中心充电站,完成測試 @ 小朗充电-广州市妇女儿童医疗中心充电站,23.124706,113.319652,23.124706,113.319652,Test Complete,29.85,26.2,4
1,141.7 分,2025-12-01 11:21:42,小朗充电-广州市妇女儿童医疗中心充电站,逸安启超充站广州正佳广场,23.124706,113.319652,23.132409,113.326876,Arrive 逸安启超充站广州正佳广场,29.74,19.2,4
1,167.9 分,2025-12-01 11:47:54,逸安启超充站广州正佳广场,完成測試 @ 逸安启超充站广州正佳广场,23.132409,113.326876,23.132409,113.326876,Test Complete,34.74,26.2,5
1,181.8 分,2025-12-01 12:01:48,逸安启超充站广州正佳广场,广州城投（花城广场南区）充电站,23.132409,113.326876,23.118462,113.324611,Arrive 广州城投（花城广场南区）充电站,34.59,13.9,5
1,208.1 分,2025-12-01 12:28:06,广州城投（花城广场南区）充电站,完成測試 @ 广州城投（花城广场南区）充电站,23.118462,113.324611,23.118462,113.324611,Test Complete,39.59,26.2,6
